bank_code,branch_code,bank_name
004,,臺灣銀行
004,0040037,臺灣銀行營業部
004,0040059,臺灣銀行公庫部
004,0040071,臺灣銀行館前分行
004,0040082,臺灣銀行信託部
004,0040093,臺灣銀行臺南分行
004,0040107,臺灣銀行臺中分行
004,0040118,臺灣銀行高雄分行
004,0040129,臺灣銀行基隆分行
004,0040130,臺灣銀行中興新村分行
004,0040141,臺灣銀行嘉義分行
004,0040152,臺灣銀行新竹分行
004,0040163,臺灣銀行彰化分行
004,0040174,臺灣銀行屏東分行
004,0040185,臺灣銀行花蓮分行
004,0040196,臺灣銀行延平分行
004,0040200,臺灣銀行中山分行
004,0040211,臺灣銀行高雄加工出口區分行
004,0040222,臺灣銀行宜蘭分行
004,0040233,臺灣銀行臺東分行
004,0040244,臺灣銀行澎湖分行
004,0040255,臺灣銀行鳳山分行
004,0040266,臺灣銀行桃園分行
004,0040277,臺灣銀行板橋分行
004,0040288,臺灣銀行新營分行
004,0040299,臺灣銀行苗栗分行
004,0040303,臺灣銀行豐原分行
004,0040314,臺灣銀行斗六分行
004,0040325,臺灣銀行南投分行
004,0040336,臺灣銀行南門分行
004,0040347,臺灣銀行公館分行
004,0040358,臺灣銀行左營分行
004,0040369,臺灣銀行北投分行
004,0040370,臺灣銀行霧峰分行
004,0040381,臺灣銀行金門分行
004,0040392,臺灣銀行馬祖分行
004,0040406,臺灣銀行安平分行
004,0040417,臺灣銀行中壢分行
004,0040428,臺灣銀行三重分行
004,0040439,臺灣銀行頭份分行
004,0040440,臺灣銀行前鎮分行
004,0040451,臺灣銀行城中分行
004,0040462,臺灣銀行民權分行
004,0040473,臺灣銀行潭子分行
004,0040484,臺灣銀行連城分行
004,0040495,臺灣銀行員林分行
004,0040509,臺灣銀行松江分行
004,0040510,臺灣銀行鼓山分行
004,0040521,臺灣銀行龍山分行
004,0040532,臺灣銀行忠孝分行
004,0040543,臺灣銀行信義分行
004,0040554,臺灣銀行復興分行
004,0040565,臺灣銀行三民分行
004,0040576,臺灣銀行臺中港分行
004,0040587,臺灣銀行羅東分行
004,0040598,臺灣銀行埔里分行
004,0040602,臺灣銀行岡山分行
004,0040613,臺灣銀行新興分行
004,0040624,臺灣銀行苓雅分行
004,0040646,臺灣銀行松山分行
004,0040657,臺灣銀行健行分行
004,0040668,臺灣銀行中和分行
004,0040679,臺灣銀行太保分行
004,0040680,臺灣銀行竹北分行
004,0040691,臺灣銀行國際金融業務分行
004,0040705,臺灣銀行士林分行
004,0040716,臺灣銀行新莊分行
004,0040727,臺灣銀行大甲分行
004,0040738,臺灣銀行新竹科學園區分行
004,0040749,臺灣銀行樹林分行
004,0040750,臺灣銀行新店分行
004,0040794,臺灣銀行黎明分行
004,0040808,臺灣銀行民生分行
004,0040819,臺灣銀行永康分行
004,0040820,臺灣銀行三多分行
004,0040831,臺灣銀行紐約分行
